Date,"The Demi-Virgin","The Oceanides","Jupiter trojan","Sandra Morgan","Virgin and Child Enthroned","Carnaby's black cockatoo","1880 Greenback National Convention","1997 Qayen earthquake","Alexander of Greece"
2016-11-25,9,20,124,9,0,39,10,19,260
2016-11-26,4,14,120,13,0,29,17,17,300
2016-11-27,12,25,128,10,0,34,11,25,376
2016-11-28,3,25,180,11,0,36,10,16,378
2016-11-29,6,22,169,14,0,21,16,16,311
2016-11-30,6,10,159,13,0,33,7,31,309
2016-12-01,2,13,173,12,0,25,15,13,256
2016-12-02,8,13,156,12,0,33,12,20,277
2016-12-03,6,23,134,11,0,33,15,20,255
2016-12-04,3,31,120,14,0,29,16,25,325
2016-12-05,2,35,175,26,0,21,13,24,285
2016-12-06,6,23,151,8938,0,40,14,26,272
2016-12-07,8,20,238,67,0,39,7,31,250
2016-12-08,7,24,192,31,0,23,14,24,291
2016-12-09,4,31,149,27,0,36,19,32,231
2016-12-10,6,15,141,17,0,36,11,19,247
2016-12-11,0,19,124,11,0,25,7,18,256
2016-12-12,5,28,169,16,0,51,16,21,270
2016-12-13,1,17,179,14,0,23,8,14,316
2016-12-14,2,21,183,25,0,38,12,23,274
2016-12-15,9,11,136,14,0,26,14,15,252
2016-12-16,3,23,143,12,0,36,12,20,249
