Date,"Madman's Drum","English Benedictine Reform","Smilodon","Wrestle Kingdom 9","Defense of the Ancients","Clinton Engineer Works","Francis Poulenc","Operation Ironside","Rogue River (Oregon)"
2017-01-24,91,85,1630,291,1111,116,371,85,216
2017-01-25,85,79,1598,255,1153,140,352,94,185
2017-01-26,49,88,1479,320,1160,128,397,108,182
2017-01-27,45,61,1287,312,1083,120,544,66,161
2017-01-28,62,74,1331,309,1053,134,335,129,159
2017-01-29,41,225,1444,297,1108,109,319,48,165
2017-01-30,37,82,1621,294,1161,122,911,50,214
2017-01-31,105,37,1536,282,1034,130,356,57,173
2017-02-01,40,53,1461,256,1080,146,334,64,148
2017-02-02,27,47,1557,222,1069,103,305,37,134
2017-02-03,43,53,1404,249,1035,74,431,42,151
2017-02-04,34,43,1388,253,1032,86,282,43,170
2017-02-05,43,48,1691,345,1071,78,284,49,168
2017-02-06,19,53,1371,274,1254,92,280,53,139
2017-02-07,23,72,1714,218,1202,133,335,38,197
2017-02-08,28,64,1482,252,1170,112,345,45,146
2017-02-09,28,45,1491,287,1172,108,337,35,153
2017-02-10,29,41,1453,218,1085,94,676,32,162
2017-02-11,35,51,1386,278,1156,100,325,27,130
2017-02-12,30,35,1389,263,1158,129,336,29,125
2017-02-13,27,45,1607,231,1205,105,347,26,153
2017-02-14,32,32,1369,170,1092,96,306,18,155
2017-02-15,42,54,4713,193,1066,101,300,27,150
2017-02-16,31,38,3176,195,1096,105,384,27,133
2017-02-17,28,39,1834,203,1160,81,301,26,141
2017-02-18,176,44,1499,179,1076,82,298,32,162
2017-02-19,37,92,1636,203,1101,75,383,34,151
2017-02-20,44,57,1554,187,1026,95,341,26,205
2017-02-21,34,45,1614,172,1117,91,342,18,201
2017-02-22,23,51,1583,188,1139,107,332,20,167
2017-02-23,18,46,1481,172,1082,85,346,29,141
2017-02-24,39,38,1463,166,1063,70,325,20,178
2017-02-25,22,30,1522,213,1075,56,542,21,135
2017-02-26,28,50,1590,208,1138,79,398,31,157
2017-02-27,41,36,1646,190,998,79,356,41,128
2017-02-28,18,49,1567,177,1044,86,359,27,135
2017-03-01,36,66,1473,201,1050,76,397,23,247
2017-03-02,19,36,1565,209,1081,69,377,27,163
2017-03-03,75,45,1712,200,1212,87,752,14,129
2017-03-04,19,26,1557,260,906,84,257,27,128
2017-03-05,23,38,1511,219,948,67,547,23,111
2017-03-06,12,43,1966,182,1040,77,330,22,145
2017-03-07,21,55,1522,180,969,92,564,22,140
2017-03-08,19,43,1482,171,961,58,418,36,134
2017-03-09,21,39,1404,169,959,108,389,22,117
2017-03-10,19,52,1364,198,1012,87,374,22,116
2017-03-11,15,29,1313,205,1058,70,324,12,118
2017-03-12,25,35,1400,209,1063,86,332,19,140
2017-03-13,16,43,1451,187,1021,79,399,14,135
2017-03-14,13,32,1468,228,1075,105,333,22,145
2017-03-15,15,42,1534,190,1000,129,356,15,160
2017-03-16,18,35,1523,154,1080,122,340,16,163
2017-03-17,10,40,1297,160,936,114,284,16,118
2017-03-18,13,26,1249,160,935,80,276,40,112
2017-03-19,25,28,1609,181,985,136,354,14,141
2017-03-20,13,29,1549,175,1077,109,353,14,133
2017-03-21,14,44,1433,194,1042,84,354,25,145
2017-03-22,27,47,1571,162,1045,74,299,21,193
2017-03-23,25,42,1496,129,1032,125,330,26,150
2017-03-24,17,31,1544,136,970,99,336,18,120
2017-03-25,31,32,1361,169,894,79,293,34,156
2017-03-26,14,24,1427,118,1191,62,277,21,159
2017-03-27,13,41,1643,149,1085,98,363,23,164
2017-03-28,23,36,1444,137,1091,91,365,16,147
2017-03-29,21,23,5230,156,1082,84,396,19,124
2017-03-30,22,40,2211,134,1124,75,330,26,172
2017-03-31,24,26,1604,130,950,76,300,17,288
2017-04-01,34,31,1373,132,1119,78,306,23,140
2017-04-02,27,35,1559,148,893,75,328,19,168
2017-04-03,16,36,1509,182,1016,132,330,20,154
2017-04-04,18,25,1524,139,970,55,327,17,128
2017-04-05,12,23,1406,256,1068,77,1086,12,153
2017-04-06,13,36,1439,234,981,76,423,13,141
2017-04-07,15,28,1291,197,900,73,325,14,103
2017-04-08,12,26,1174,200,899,82,267,13,157
2017-04-09,12,27,1269,225,939,75,324,18,164
2017-04-10,29,41,1434,267,1067,90,370,15,130
2017-04-11,10,26,1432,158,946,78,304,16,142
2017-04-12,14,42,1723,242,1050,79,391,20,153
2017-04-13,24,42,1518,281,920,69,329,17,106
2017-04-14,9,23,1482,261,845,78,342,20,153
2017-04-15,15,32,1233,212,870,70,287,10,180
2017-04-16,17,29,1402,193,815,56,277,13,155
2017-04-17,11,34,1625,228,903,102,388,8,149
2017-04-18,22,28,1684,236,938,121,326,16,190
2017-04-19,16,40,2327,170,1058,94,390,12,135
2017-04-20,23,28,1703,194,1077,78,401,26,150
2017-04-21,15,24,1434,228,1027,88,338,10,152
2017-04-22,22,32,1280,238,967,92,332,17,153
2017-04-23,13,34,1345,167,1018,82,341,10,166
2017-04-24,17,39,1333,178,1144,85,401,31,169
2017-04-25,13,36,1309,204,1131,84,428,22,168
2017-04-26,15,28,1374,158,1208,86,389,18,155
2017-04-27,15,38,1882,151,1375,59,430,26,163
2017-04-28,19,30,1254,210,1344,57,352,14,145
2017-04-29,7,29,1124,167,1252,67,334,14,132
2017-04-30,11,31,1364,180,1408,60,331,17,133
2017-05-01,15,46,1466,162,1208,67,380,13,167
2017-05-02,24,49,1246,156,1270,101,393,14,147
2017-05-03,13,46,1392,167,1223,143,417,15,130
2017-05-04,15,48,1304,167,1159,80,403,28,423
2017-05-05,12,35,1238,203,1180,89,336,17,172
2017-05-06,24,41,1165,205,1014,84,314,17,140
2017-05-07,20,61,1371,190,995,64,351,16,135
2017-05-08,19,56,1394,204,1160,74,378,20,167
2017-05-09,13,30,1300,156,1177,190,416,8,166
2017-05-10,8,33,1323,149,1094,145,398,19,141
2017-05-11,17,22,1397,138,1177,96,390,10,153
2017-05-12,10,24,1325,198,1025,92,288,13,173
2017-05-13,8,18,1244,189,960,58,289,13,143
2017-05-14,16,22,1210,186,957,79,287,18,147
2017-05-15,13,44,1428,160,1086,83,341,18,184
2017-05-16,14,32,1290,215,1026,57,332,16,145
2017-05-17,12,43,1425,157,931,95,315,19,124
2017-05-18,10,43,1250,161,1092,89,274,25,145
2017-05-19,19,40,1384,181,1102,64,266,14,139
2017-05-20,16,37,1210,174,977,50,290,22,168
2017-05-21,16,33,1258,224,1189,76,289,24,169
2017-05-22,13,30,1306,182,1064,54,294,19,200
2017-05-23,20,51,1854,134,1097,90,334,33,159
2017-05-24,7,30,1378,187,958,70,279,15,157
2017-05-25,13,32,1255,207,960,61,292,24,220
2017-05-26,13,34,1160,162,1001,58,282,20,169
2017-05-27,11,87,1332,183,833,75,238,66,155
2017-05-28,17,38,1400,160,887,82,252,15,158
