Date,"Brazilian battleship São Paulo","Death of Leelah Alcorn","Qatna","William Borah","Birthday-number effect"
2017-01-03,34,494,30,141,0
2017-01-04,31,652,23,148,0
2017-01-05,42,589,23,139,0
2017-01-06,45,1061,29,151,0
2017-01-07,61,487,35,176,0
2017-01-08,50,507,14,138,0
2017-01-09,45,394,23,168,0
2017-01-10,397,367,37,146,0
2017-01-11,61,296,19,153,0
2017-01-12,54,616,24,255,0
2017-01-13,49,423,22,332,0
2017-01-14,53,317,18,160,0
2017-01-15,42,310,21,129,0
2017-01-16,57,273,22,184,0
2017-01-17,30,294,24,169,0
2017-01-18,42,277,36,148,0
2017-01-19,46,299,26,193,0
2017-01-20,25,253,31,176,0
2017-01-21,34,222,23,197,0
2017-01-22,50,225,32,193,0
2017-01-23,58,252,27,182,0
2017-01-24,50,252,27,199,0
2017-01-25,35,222,31,146,0
2017-01-26,44,212,36,229,0
2017-01-27,42,202,26,205,0
2017-01-28,34,220,21,173,0
2017-01-29,44,194,21,153,0
2017-01-30,48,215,34,218,0
2017-01-31,38,287,23,213,0
2017-02-01,42,242,35,255,0
2017-02-02,47,282,32,209,0
2017-02-03,45,681,27,181,0
2017-02-04,46,571,30,132,0
2017-02-05,45,703,23,154,0
2017-02-06,47,1793,37,173,0
2017-02-07,48,1290,39,161,0
2017-02-08,37,507,25,182,0
2017-02-09,37,333,29,176,0
2017-02-10,50,329,21,207,0
2017-02-11,39,608,29,157,0
2017-02-12,56,539,24,165,0
2017-02-13,41,342,30,218,0
2017-02-14,51,238,28,261,0
2017-02-15,91,261,18,227,0
2017-02-16,59,279,23,210,0
2017-02-17,50,252,20,179,0
2017-02-18,55,225,29,126,0
2017-02-19,41,331,30,146,0
2017-02-20,40,267,58,228,0
2017-02-21,34,355,107,193,0
2017-02-22,35,427,16,190,0
2017-02-23,46,595,14,181,0
2017-02-24,42,469,27,171,0
2017-02-25,38,398,26,119,0
2017-02-26,38,326,38,177,0
2017-02-27,42,372,29,179,0
2017-02-28,40,312,36,171,0
2017-03-01,48,290,23,160,0
2017-03-02,36,303,30,150,0
2017-03-03,36,316,27,145,0
2017-03-04,31,264,28,119,0
2017-03-05,41,318,28,139,0
2017-03-06,53,656,25,170,0
2017-03-07,57,303,23,157,0
2017-03-08,63,294,34,153,0
2017-03-09,35,426,28,164,0
2017-03-10,39,350,37,142,0
2017-03-11,34,283,24,132,0
2017-03-12,32,300,31,143,0
2017-03-13,29,288,28,200,0
2017-03-14,40,282,25,134,0
2017-03-15,52,267,33,138,0
2017-03-16,28,288,23,133,0
2017-03-17,42,328,14,158,0
2017-03-18,41,241,21,131,0
2017-03-19,31,195,26,130,0
