Date,"Donnchadh, Earl of Carrick","Kona Lanes","SMS Kaiser Barbarossa","Carnotaurus","Shakespeare authorship question","The Shape of Things to Come (Lost)","George Calvert, 1st Baron Baltimore","Heffernan v. City of Paterson","The Greencards"
2016-11-14,16,8,14,372,680,53,190,40,17
2016-11-15,25,6,18,389,792,33,223,42,19
2016-11-16,12,5,9,512,790,37,195,59,13
2016-11-17,16,6,10,408,683,33,239,59,18
2016-11-18,12,4,15,397,520,33,261,37,23
2016-11-19,24,5,14,367,364,40,161,34,27
2016-11-20,22,8,10,380,416,37,159,23,16
2016-11-21,20,8,7,385,571,32,225,41,19
2016-11-22,26,6,16,365,597,35,173,43,17
2016-11-23,10,5,12,349,514,46,149,16,14
2016-11-24,16,7,12,377,404,38,132,20,13
2016-11-25,18,4,13,364,370,29,107,24,28
2016-11-26,19,13,13,376,342,53,138,29,23
2016-11-27,27,6,16,391,478,51,138,27,24
2016-11-28,15,7,9,380,711,42,207,32,20
2016-11-29,25,11,22,396,703,38,195,52,22
2016-11-30,38,7,10,422,621,34,197,65,20
2016-12-01,12,5,13,365,632,28,205,47,21
2016-12-02,29,4,19,424,562,42,202,40,28
2016-12-03,28,23,14,368,426,33,128,28,15
2016-12-04,33,15,14,406,497,54,155,31,32
2016-12-05,21,9,12,488,554,49,208,52,21
2016-12-06,12,16,19,411,599,45,241,63,16
2016-12-07,17,7,9,379,573,40,181,51,18
2016-12-08,27,4,14,469,556,35,219,60,15
