Date,"Interstate 96","Sea mink","1966 New York City smog","Black vulture","New Worlds (magazine)","38th (Welsh) Infantry Division","Battle of Winterthur","X-Cops (The X-Files)","Josephine Butler"
2016-11-03,77,228,48,267,17,41,1,111,193
2016-11-04,63,202,44,257,23,38,0,130,151
2016-11-05,90,172,41,330,30,28,0,106,69
2016-11-06,57,165,68,307,32,42,0,106,86
2016-11-07,81,225,72,300,39,34,0,91,98
2016-11-08,86,282,64,258,35,47,0,102,138
2016-11-09,79,257,33,194,29,29,0,77,122
2016-11-10,72,238,53,250,23,39,0,104,98
2016-11-11,77,300,37,254,32,68,1,93,106
2016-11-12,71,224,36,258,27,29,7,69,71
2016-11-13,87,222,52,286,31,67,0,91,100
2016-11-14,85,252,88,250,39,50,0,241,127
2016-11-15,70,234,96,287,33,28,1,125,122
2016-11-16,99,207,66,267,24,49,2,123,168
2016-11-17,104,285,43,255,32,26,1,92,194
2016-11-18,91,217,44,231,24,54,1,92,88
2016-11-19,91,195,38,235,27,40,0,101,97
2016-11-20,96,202,46,332,23,30,1,99,94
2016-11-21,87,215,59,453,36,29,0,102,187
2016-11-22,96,205,61,268,34,29,0,105,114
2016-11-23,96,215,52,251,12,37,0,89,79
2016-11-24,94,180,78,287,24,33,0,86,100
2016-11-25,106,186,17646,268,28,44,0,90,79
2016-11-26,120,180,796,269,25,37,0,76,83
2016-11-27,78,199,471,281,33,40,0,106,105
2016-11-28,104,236,374,314,43,36,0,91,133
2016-11-29,123,207,256,286,42,29,0,96,127
2016-11-30,122,225,238,249,23,38,2,95,102
2016-12-01,126,258,196,289,40,29,0,89,105
2016-12-02,107,183,171,253,34,33,1,87,116
2016-12-03,72,143,212,258,29,26,1,78,87
2016-12-04,93,216,279,266,32,36,2,116,123
2016-12-05,125,229,426,306,36,23,0,80,117
2016-12-06,124,223,188,250,24,35,1,85,130
2016-12-07,78,212,175,209,34,18,0,77,144
2016-12-08,946,204,172,329,33,23,0,107,142
2016-12-09,773,188,185,265,35,51,1,74,110
2016-12-10,220,153,185,230,62,27,0,93,65
2016-12-11,140,114,290,278,36,27,0,98,125
2016-12-12,150,174,522,280,37,30,0,122,110
2016-12-13,95,205,613,243,34,18,1,96,113
2016-12-14,122,213,305,247,30,27,0,83,121
2016-12-15,164,190,279,251,25,26,0,87,101
2016-12-16,201,180,174,244,29,33,0,111,74
2016-12-17,121,112,178,208,21,24,0,98,57
2016-12-18,107,156,176,278,27,24,1,86,67
2016-12-19,118,176,189,238,25,43,3,91,86
